vehicle_count,avg_wait_time,sensor_activation,label
1.0,2.29,0.67,0
2.0,3.18,1.24,0
4.0,13.55,3.31,1
5.0,18.2,3.16,1
1.0,1.45,0.56,0
12.0,28.96,8.25,2
11.0,34.83,10.08,2
7.0,40.54,6.9,2
5.0,11.86,2.86,1
3.0,19.71,2.25,1
3.0,23.56,1.84,1
8.0,58.12,6.58,2
2.0,0.17,0.5,0
9.0,48.09,7.34,2
5.0,19.66,2.81,1
8.0,46.66,6.42,2
5.0,13.58,3.71,1
12.0,31.91,10.43,2
7.0,47.28,6.19,2
12.0,56.12,8.58,2
5.0,14.53,3.64,1
8.0,52.88,5.09,2
3.0,23.97,1.7,1
0.0,1.1,0.0,0
2.0,5.23,0.84,0
4.0,13.39,2.37,1
10.0,38.67,10.36,2
0.0,8.97,0.0,0
5.0,21.46,3.8,1
4.0,14.61,2.55,1
3.0,23.55,1.97,1
2.0,1.62,0.86,0
10.0,56.22,9.59,2
10.0,49.23,9.21,2
11.0,47.34,9.27,2
6.0,46.16,5.23,2
3.0,19.79,2.67,1
7.0,55.74,6.76,2
10.0,30.1,9.02,2
3.0,13.48,1.41,1
8.0,49.67,6.94,2
2.0,6.38,0.87,0
1.0,6.42,0.68,0
8.0,59.93,7.4,2
5.0,12.22,2.1,1
9.0,50.64,9.03,2
3.0,23.66,2.13,1
7.0,51.08,6.95,2
7.0,33.82,5.98,2
6.0,52.51,5.97,2
3.0,24.29,2.1,1
1.0,7.28,0.2,0
8.0,58.3,5.5,2
2.0,6.33,1.18,0
0.0,0.41,0.17,0
11.0,46.86,9.46,2
2.0,9.0,0.7,0
8.0,33.42,7.64,2
5.0,13.25,3.25,1
5.0,24.72,2.22,1
3.0,18.16,2.14,1
7.0,32.34,5.7,2
0.0,5.11,0.0,0
6.0,30.4,4.67,2
1.0,9.08,0.84,0
9.0,52.08,8.76,2
1.0,6.78,0.22,0
4.0,12.5,1.9,1
2.0,2.42,1.16,0
3.0,16.1,2.49,1
0.0,4.28,0.0,0
1.0,8.07,0.72,0
2.0,8.08,0.87,0
3.0,22.29,1.69,1
4.0,12.94,3.15,1
4.0,13.69,2.2,1
5.0,12.57,4.67,1
5.0,14.99,4.5,1
3.0,14.62,2.1,1
6.0,39.07,5.97,2
0.0,5.19,0.23,0
9.0,40.2,6.52,2
0.0,3.41,0.15,0
7.0,40.2,6.58,2
4.0,17.48,2.25,1
4.0,19.22,2.27,1
4.0,21.97,3.01,1
2.0,8.18,1.23,0
0.0,6.45,0.31,0
6.0,38.06,4.61,2
4.0,17.04,3.11,1
4.0,19.87,2.02,1
0.0,1.61,0.0,0
12.0,54.04,9.34,2
4.0,13.13,3.07,1
10.0,28.62,8.85,2
7.0,31.68,5.25,2
0.0,4.72,0.0,0
2.0,3.25,0.68,0
11.0,53.74,10.96,2
10.0,32.0,8.02,2
9.0,45.72,6.85,2
2.0,6.6,1.31,0
4.0,16.75,2.15,1
12.0,42.86,9.99,2
3.0,24.81,2.13,1
3.0,21.48,2.48,1
0.0,8.77,0.0,0
4.0,14.32,2.04,1
0.0,6.1,0.17,0
0.0,1.2,0.0,0
1.0,1.87,0.4,0
4.0,22.05,2.16,1
12.0,49.66,12.16,2
2.0,9.3,1.32,0
6.0,36.07,4.53,2
4.0,24.57,3.19,1
10.0,55.58,6.79,2
5.0,11.55,2.03,1
10.0,31.23,8.08,2
3.0,12.06,1.81,1
1.0,5.03,0.53,0
4.0,15.6,2.72,1
3.0,13.06,1.54,1
2.0,5.61,0.78,0
1.0,2.79,0.8,0
1.0,1.08,0.95,0
3.0,12.69,2.18,1
0.0,4.27,0.19,0
8.0,42.83,6.88,2
7.0,52.74,6.39,2
5.0,12.42,2.46,1
10.0,29.76,7.01,2
12.0,37.9,9.94,2
4.0,24.01,2.49,1
4.0,12.79,2.36,1
4.0,15.99,3.0,1
12.0,29.11,10.99,2
8.0,36.72,5.68,2
7.0,42.34,4.93,2
8.0,55.83,7.2,2
8.0,39.67,6.11,2
5.0,17.98,4.67,1
5.0,20.67,3.28,1
0.0,0.07,0.12,0
3.0,13.14,2.81,1
4.0,14.77,3.53,1
11.0,26.83,9.63,2
2.0,0.93,0.96,0
0.0,3.64,0.0,0
0.0,7.3,0.33,0
1.0,9.43,0.12,0
2.0,8.35,0.54,0
4.0,21.44,2.61,1
2.0,5.39,0.64,0
9.0,43.98,9.32,2
0.0,6.91,0.0,0
1.0,7.03,0.89,0
12.0,57.93,10.7,2
10.0,54.18,9.91,2
2.0,0.25,0.86,0
11.0,57.54,10.92,2
1.0,2.26,0.04,0
10.0,59.46,8.1,2
4.0,23.23,2.47,1
10.0,37.83,9.38,2
3.0,17.9,1.8,1
6.0,33.84,5.38,2
12.0,33.49,9.68,2
6.0,51.78,5.16,2
8.0,46.27,7.78,2
1.0,9.72,0.26,0
1.0,3.23,0.39,0
3.0,16.19,2.61,1
3.0,14.39,2.05,1
9.0,55.87,6.46,2
5.0,17.26,4.27,1
5.0,14.88,3.9,1
2.0,3.01,0.91,0
1.0,3.38,0.07,0
4.0,20.36,2.59,1
12.0,44.34,11.46,2
0.0,4.1,0.18,0
12.0,58.95,9.1,2
4.0,18.05,2.25,1
6.0,40.33,5.08,2
3.0,16.28,2.07,1
10.0,29.04,6.41,2
12.0,46.94,11.23,2
6.0,33.5,4.61,2
3.0,13.41,2.68,1
3.0,17.89,1.93,1
3.0,11.57,2.37,1
0.0,2.58,0.0,0
0.0,5.12,0.27,0
7.0,35.03,6.75,2
4.0,19.48,2.5,1
3.0,15.88,1.69,1
8.0,48.39,5.95,2
0.0,2.49,0.08,0
3.0,18.46,2.42,1
1.0,6.72,0.75,0
0.0,8.97,0.46,0
6.0,42.32,5.99,2
6.0,54.94,4.97,2
2.0,5.55,0.87,0
